Unidades da Federação;pessoas
Acre;830018
Alagoas;3127683
Amapá;733759
Amazonas;3941613
Bahia;14141626
Ceará;8794957
Distrito Federal;2817381
Espírito Santo;3833712
Goiás;7056495
Maranhão;6776699
Mato Grosso;3658649
Mato Grosso do Sul;2757013
Minas Gerais;20539989
Pará;8120131
Paraíba;3974687
Paraná;11444380
Pernambuco;9058931
Piauí;3271199
Rio de Janeiro;16055174
Rio Grande do Norte;3302729
Rio Grande do Sul;10882965
Rondônia;1581196
Roraima;636707
Santa Catarina;7610361
São Paulo;44411238
Sergipe;2210004
Tocantins;1511460
