,ano,mes,sigla_uf,tipo_consumo,numero_consumidores,consumo
0,2004,1,TO,Total,,65876
1,2004,1,BA,Total,,1444451
2,2004,1,PR,Total,,1596274
3,2004,1,RS,Total,,1780912
4,2004,1,GO,Total,,630624
5,2004,1,MA,Total,,737033
6,2004,1,PI,Total,,131052
7,2004,1,RO,Total,,112812
8,2004,1,DF,Total,,311459
9,2004,1,SE,Total,,192207
10,2004,1,MG,Total,,3732811
11,2004,1,MS,Total,,272917
12,2004,1,RJ,Total,,2612753
13,2004,1,PA,Total,,1011353
14,2004,1,PE,Total,,643102
15,2004,1,RR,Total,,31695
16,2004,1,RN,Total,,268614
17,2004,1,AL,Total,,285489
18,2004,1,ES,Total,,607655
19,2004,1,AM,Total,,274773
20,2004,1,MT,Total,,292173
21,2004,1,AC,Total,,34840
22,2004,1,AP,Total,,43084
23,2004,1,SC,Total,,1132926
24,2004,1,SP,Total,,7976304
25,2004,1,PB,Total,,236448
26,2004,1,CE,Total,,518714
27,2004,2,SE,Total,,182026
28,2004,2,BA,Total,,1344183
29,2004,2,PR,Total,,1635576
30,2004,2,RS,Total,,1824346
31,2004,2,GO,Total,,602529
32,2004,2,AL,Total,,266555
33,2004,2,AM,Total,,278429
34,2004,2,DF,Total,,285928
35,2004,2,AC,Total,,33050
36,2004,2,PB,Total,,226289
37,2004,2,PE,Total,,612231
38,2004,2,RR,Total,,30802
39,2004,2,AP,Total,,28944
40,2004,2,RJ,Total,,2630033
41,2004,2,RO,Total,,105806
42,2004,2,CE,Total,,469181
43,2004,2,RN,Total,,233950
44,2004,2,ES,Total,,583260
45,2004,2,MG,Total,,3582369
46,2004,2,MA,Total,,694591
47,2004,2,PI,Total,,110758
48,2004,2,MT,Total,,296942
49,2004,2,SC,Total,,1230305
50,2004,2,MS,Total,,270613
51,2004,2,PA,Total,,967109
52,2004,2,TO,Total,,63306
53,2004,2,SP,Total,,7919049
54,2004,3,RN,Total,,257966
55,2004,3,TO,Total,,67551
56,2004,3,CE,Total,,508966
57,2004,3,DF,Total,,300453
58,2004,3,MT,Total,,332886
59,2004,3,RO,Total,,106668
60,2004,3,AP,Total,,42451
61,2004,3,ES,Total,,599525
62,2004,3,MA,Total,,743086
63,2004,3,AC,Total,,33858
64,2004,3,RR,Total,,30275
65,2004,3,PI,Total,,112344
66,2004,3,SE,Total,,195611
67,2004,3,MG,Total,,3605412
68,2004,3,PR,Total,,1656643
69,2004,3,RS,Total,,1941380
70,2004,3,PE,Total,,658774
71,2004,3,BA,Total,,1393925
72,2004,3,AL,Total,,259855
73,2004,3,RJ,Total,,2582060
74,2004,3,SC,Total,,1300745
75,2004,3,PA,Total,,1022952
76,2004,3,AM,Total,,270420
77,2004,3,PB,Total,,242215
78,2004,3,SP,Total,,8116797
79,2004,3,GO,Total,,622783
80,2004,3,MS,Total,,278720
81,2004,4,PI,Total,,123168
82,2004,4,MG,Total,,3668628
83,2004,4,PA,Total,,1032233
84,2004,4,MS,Total,,290653
85,2004,4,SC,Total,,1215161
86,2004,4,AP,Total,,40234
87,2004,4,GO,Total,,644083
88,2004,4,DF,Total,,322911
89,2004,4,AM,Total,,279044
90,2004,4,RR,Total,,33035
91,2004,4,PE,Total,,674646
92,2004,4,SP,Total,,8623046
93,2004,4,AL,Total,,289626
94,2004,4,PR,Total,,1691910
95,2004,4,RS,Total,,1966239
96,2004,4,BA,Total,,1419046
97,2004,4,MA,Total,,728379
98,2004,4,RJ,Total,,2626340
99,2004,4,AC,Total,,34961
100,2004,4,ES,Total,,583307
101,2004,4,RO,Total,,107580
102,2004,4,TO,Total,,71774
103,2004,4,CE,Total,,523200
104,2004,4,SE,Total,,204065
105,2004,4,MT,Total,,353039
106,2004,4,PB,Total,,235364
107,2004,4,RN,Total,,264504
108,2004,5,PI,Total,,121261
109,2004,5,SP,Total,,8096487
110,2004,5,CE,Total,,501515
111,2004,5,MG,Total,,3692795
112,2004,5,GO,Total,,654000
113,2004,5,AP,Total,,38522
114,2004,5,SE,Total,,186831
115,2004,5,PA,Total,,1057805
116,2004,5,PE,Total,,649438
117,2004,5,MA,Total,,751060
118,2004,5,RN,Total,,258761
119,2004,5,AC,Total,,29766
120,2004,5,AM,Total,,283866
121,2004,5,RO,Total,,112115
122,2004,5,RJ,Total,,2530944
123,2004,5,AL,Total,,284219
124,2004,5,RR,Total,,28944
125,2004,5,ES,Total,,586400
126,2004,5,MS,Total,,267345
127,2004,5,BA,Total,,1436199
128,2004,5,SC,Total,,1223449
129,2004,5,RS,Total,,1842967
130,2004,5,MT,Total,,328933
131,2004,5,DF,Total,,315509
132,2004,5,TO,Total,,74458
133,2004,5,PR,Total,,1656608
134,2004,5,PB,Total,,234298
135,2004,6,AC,Total,,32048
136,2004,6,MS,Total,,251956
137,2004,6,PB,Total,,236512
138,2004,6,RS,Total,,1774798
139,2004,6,AM,Total,,285251
140,2004,6,RR,Total,,29531
141,2004,6,MT,Total,,328386
142,2004,6,DF,Total,,309763
143,2004,6,PI,Total,,122482
144,2004,6,AL,Total,,284384
145,2004,6,SP,Total,,8191582
146,2004,6,GO,Total,,687091
147,2004,6,RO,Total,,107816
148,2004,6,PE,Total,,642487
149,2004,6,MA,Total,,730462
150,2004,6,AP,Total,,41854
151,2004,6,RJ,Total,,2366320
152,2004,6,PR,Total,,1621651
153,2004,6,CE,Total,,511009
154,2004,6,TO,Total,,77738
155,2004,6,ES,Total,,571593
156,2004,6,SE,Total,,193240
157,2004,6,PA,Total,,1067141
158,2004,6,SC,Total,,1160112
159,2004,6,RN,Total,,263985
160,2004,6,BA,Total,,1424739
161,2004,6,MG,Total,,3769021
162,2004,7,SP,Total,,8302446
163,2004,7,RN,Total,,249242
164,2004,7,PB,Total,,235539
165,2004,7,AP,Total,,40924
166,2004,7,AL,Total,,282241
167,2004,7,GO,Total,,688157
168,2004,7,RO,Total,,108589
169,2004,7,SE,Total,,197780
170,2004,7,RS,Total,,1781687
171,2004,7,BA,Total,,1434806
172,2004,7,ES,Total,,585851
173,2004,7,AM,Total,,295884
174,2004,7,MS,Total,,251231
175,2004,7,PE,Total,,619249
176,2004,7,SC,Total,,1195777
177,2004,7,RJ,Total,,2466119
178,2004,7,AC,Total,,33659
179,2004,7,RR,Total,,28212
180,2004,7,TO,Total,,74534
181,2004,7,PR,Total,,1621327
182,2004,7,MG,Total,,3739868
183,2004,7,MA,Total,,741749
184,2004,7,PI,Total,,120148
185,2004,7,CE,Total,,495416
186,2004,7,MT,Total,,353610
187,2004,7,DF,Total,,318750
188,2004,7,PA,Total,,1083198
189,2004,8,TO,Total,,78675
190,2004,8,PR,Total,,1658482
191,2004,8,RN,Total,,262303
192,2004,8,ES,Total,,589390
193,2004,8,MA,Total,,757367
194,2004,8,RO,Total,,110858
195,2004,8,MT,Total,,344131
196,2004,8,DF,Total,,314954
197,2004,8,MS,Total,,270452
198,2004,8,GO,Total,,716152
199,2004,8,SP,Total,,8389078
200,2004,8,RJ,Total,,2407957
201,2004,8,AL,Total,,281415
202,2004,8,AP,Total,,41429
203,2004,8,SE,Total,,193385
204,2004,8,SC,Total,,1212734
205,2004,8,PI,Total,,123974
206,2004,8,PE,Total,,634549
207,2004,8,MG,Total,,3803148
208,2004,8,RS,Total,,1781966
209,2004,8,AC,Total,,34837
210,2004,8,PB,Total,,233748
211,2004,8,BA,Total,,1420586
212,2004,8,PA,Total,,1138723
213,2004,8,AM,Total,,296649
214,2004,8,RR,Total,,28722
215,2004,8,CE,Total,,531184
216,2004,9,SC,Total,,1190300
217,2004,9,SE,Total,,195500
218,2004,9,PI,Total,,135732
219,2004,9,MA,Total,,745555
220,2004,9,RR,Total,,29796
221,2004,9,PR,Total,,1696237
222,2004,9,PA,Total,,1069492
223,2004,9,AM,Total,,308616
224,2004,9,MS,Total,,270627
225,2004,9,ES,Total,,598050
226,2004,9,SP,Total,,8605471
227,2004,9,GO,Total,,750537
228,2004,9,AC,Total,,36879
229,2004,9,AL,Total,,279917
230,2004,9,PE,Total,,681675
231,2004,9,RS,Total,,1767873
232,2004,9,RN,Total,,265269
233,2004,9,RJ,Total,,2494812
234,2004,9,DF,Total,,341926
235,2004,9,CE,Total,,564012
236,2004,9,RO,Total,,116058
237,2004,9,MT,Total,,364076
238,2004,9,MG,Total,,3895351
239,2004,9,BA,Total,,1457221
240,2004,9,PB,Total,,245145
241,2004,9,TO,Total,,82175
242,2004,9,AP,Total,,44138
243,2004,10,PI,Total,,135439
244,2004,10,AC,Total,,36948
245,2004,10,MA,Total,,786961
246,2004,10,PB,Total,,253093
247,2004,10,RR,Total,,31634
248,2004,10,SC,Total,,1192551
249,2004,10,AL,Total,,290729
250,2004,10,RS,Total,,1728423
251,2004,10,GO,Total,,746582
252,2004,10,PR,Total,,1669722
253,2004,10,RJ,Total,,2567499
254,2004,10,RO,Total,,120268
255,2004,10,ES,Total,,609691
256,2004,10,CE,Total,,553697
257,2004,10,RN,Total,,276664
258,2004,10,SE,Total,,200142
259,2004,10,MT,Total,,362464
260,2004,10,MG,Total,,3885073
261,2004,10,PA,Total,,1090780
262,2004,10,AM,Total,,319945
263,2004,10,SP,Total,,8777612
264,2004,10,PE,Total,,687210
265,2004,10,MS,Total,,278831
266,2004,10,AP,Total,,46695
267,2004,10,TO,Total,,77895
268,2004,10,BA,Total,,1473942
269,2004,10,DF,Total,,355619
270,2004,11,BA,Total,,1495174
271,2004,11,MT,Total,,346869
272,2004,11,RO,Total,,119959
273,2004,11,AP,Total,,46641
274,2004,11,RR,Total,,33054
275,2004,11,PR,Total,,1684955
276,2004,11,RS,Total,,1621708
277,2004,11,PB,Total,,253953
278,2004,11,SE,Total,,210695
279,2004,11,AM,Total,,310684
280,2004,11,CE,Total,,575825
281,2004,11,GO,Total,,649537
282,2004,11,AL,Total,,289596
283,2004,11,SP,Total,,8607786
284,2004,11,SC,Total,,1222754
285,2004,11,TO,Total,,74206
286,2004,11,MG,Total,,4019478
287,2004,11,DF,Total,,335532
288,2004,11,PE,Total,,705356
289,2004,11,ES,Total,,604979
290,2004,11,PA,Total,,1097026
291,2004,11,RJ,Total,,2572550
292,2004,11,AC,Total,,38066
293,2004,11,MS,Total,,272868
294,2004,11,PI,Total,,138289
295,2004,11,RN,Total,,293826
296,2004,11,MA,Total,,745748
297,2004,12,CE,Total,,575617
298,2004,12,AP,Total,,46518
299,2004,12,AM,Total,,321545
300,2004,12,PI,Total,,132442
301,2004,12,ES,Total,,614381
302,2004,12,SC,Total,,1221422
303,2004,12,MS,Total,,286730
304,2004,12,MT,Total,,344088
305,2004,12,RS,Total,,1760276
306,2004,12,TO,Total,,74505
307,2004,12,MG,Total,,3914811
308,2004,12,MA,Total,,757937
309,2004,12,PB,Total,,258616
310,2004,12,DF,Total,,345619
311,2004,12,SP,Total,,8543644
312,2004,12,PE,Total,,730310
313,2004,12,BA,Total,,1503809
314,2004,12,AC,Total,,36879
315,2004,12,GO,Total,,658675
316,2004,12,RO,Total,,116378
317,2004,12,SE,Total,,214853
318,2004,12,PR,Total,,1683515
319,2004,12,PA,Total,,1110612
320,2004,12,RJ,Total,,2677810
321,2004,12,AL,Total,,296464
322,2004,12,RN,Total,,300457
323,2004,12,RR,Total,,34181
324,2004,1,RJ,Cativo,,2295758
325,2004,1,SC,Cativo,,1111677
326,2004,1,MG,Cativo,,2732631
327,2004,1,BA,Cativo,,1356735
328,2004,1,RR,Cativo,,31695
329,2004,1,AP,Cativo,,43084
330,2004,1,MS,Cativo,,259818
331,2004,1,ES,Cativo,,478513
332,2004,1,TO,Cativo,,65876
333,2004,1,PI,Cativo,,131052
334,2004,1,PB,Cativo,,236448
335,2004,1,DF,Cativo,,296041
336,2004,1,CE,Cativo,,518714
337,2004,1,SP,Cativo,,6987562
338,2004,1,GO,Cativo,,618445
339,2004,1,PR,Cativo,,1424057
340,2004,1,AM,Cativo,,274773
341,2004,1,PE,Cativo,,630980
342,2004,1,RN,Cativo,,258748
343,2004,1,MT,Cativo,,287657
344,2004,1,SE,Cativo,,170127
345,2004,1,PA,Cativo,,998415
346,2004,1,RO,Cativo,,112812
347,2004,1,AL,Cativo,,285489
348,2004,1,AC,Cativo,,34840
349,2004,1,RS,Cativo,,1628094
350,2004,1,MA,Cativo,,737033
351,2004,2,PI,Cativo,,110758
352,2004,2,PB,Cativo,,226289
353,2004,2,AL,Cativo,,266555
354,2004,2,RR,Cativo,,30802
355,2004,2,SE,Cativo,,164452
356,2004,2,TO,Cativo,,63306
357,2004,2,PE,Cativo,,600074
358,2004,2,DF,Cativo,,267122
359,2004,2,AC,Cativo,,33050
360,2004,2,CE,Cativo,,469181
361,2004,2,GO,Cativo,,591848
362,2004,2,SC,Cativo,,1210231
363,2004,2,MS,Cativo,,256437
364,2004,2,SP,Cativo,,6831454
365,2004,2,RJ,Cativo,,2314951
366,2004,2,PR,Cativo,,1474197
367,2004,2,RS,Cativo,,1824338
368,2004,2,AM,Cativo,,278429
369,2004,2,MA,Cativo,,694591
370,2004,2,PA,Cativo,,948437
371,2004,2,BA,Cativo,,1259733
372,2004,2,MT,Cativo,,291449
373,2004,2,MG,Cativo,,2601534
374,2004,2,RO,Cativo,,105806
375,2004,2,ES,Cativo,,465174
376,2004,2,AP,Cativo,,28944
377,2004,2,RN,Cativo,,223838
378,2004,3,RO,Cativo,,106668
379,2004,3,PE,Cativo,,641132
380,2004,3,MS,Cativo,,258721
381,2004,3,RR,Cativo,,30275
382,2004,3,CE,Cativo,,508966
383,2004,3,PR,Cativo,,1471008
384,2004,3,DF,Cativo,,281258
385,2004,3,GO,Cativo,,612926
386,2004,3,RS,Cativo,,1788563
387,2004,3,AC,Cativo,,33858
388,2004,3,AP,Cativo,,42451
389,2004,3,PI,Cativo,,112344
390,2004,3,ES,Cativo,,472788
391,2004,3,MT,Cativo,,329305
392,2004,3,PA,Cativo,,997574
393,2004,3,SE,Cativo,,176304
394,2004,3,SC,Cativo,,1269220
395,2004,3,PB,Cativo,,242215
396,2004,3,BA,Cativo,,1300584
397,2004,3,RN,Cativo,,247102
398,2004,3,MG,Cativo,,2635573
399,2004,3,MA,Cativo,,743086
400,2004,3,SP,Cativo,,7058968
401,2004,3,TO,Cativo,,67551
402,2004,3,RJ,Cativo,,2251157
403,2004,3,AM,Cativo,,270420
404,2004,3,AL,Cativo,,259855
405,2004,4,MT,Cativo,,346013
406,2004,4,RO,Cativo,,107580
407,2004,4,PE,Cativo,,659200
408,2004,4,SP,Cativo,,7419594
409,2004,4,MG,Cativo,,2693060
410,2004,4,DF,Cativo,,304543
411,2004,4,RR,Cativo,,33035
412,2004,4,PA,Cativo,,1009255
413,2004,4,RN,Cativo,,254830
414,2004,4,AC,Cativo,,34961
415,2004,4,TO,Cativo,,71774
416,2004,4,GO,Cativo,,633504
417,2004,4,PI,Cativo,,123168
418,2004,4,MA,Cativo,,728379
419,2004,4,ES,Cativo,,461347
420,2004,4,PB,Cativo,,235364
421,2004,4,AM,Cativo,,279044
422,2004,4,CE,Cativo,,523200
423,2004,4,AL,Cativo,,289626
424,2004,4,RS,Cativo,,1813423
425,2004,4,SE,Cativo,,181489
426,2004,4,PR,Cativo,,1512897
427,2004,4,SC,Cativo,,1187222
428,2004,4,AP,Cativo,,40234
429,2004,4,BA,Cativo,,1322590
430,2004,4,RJ,Cativo,,2273898
431,2004,4,MS,Cativo,,272649
432,2004,5,RS,Cativo,,1686516
433,2004,5,AP,Cativo,,38522
434,2004,5,ES,Cativo,,449853
