,sigla_uf,estado,regiao
0,AC,Acre,Norte
1,AL,Alagoas,Nordeste
2,AP,Amapá,Norte
3,AM,Amazonas,Norte
4,BA,Bahia,Nordeste
5,CE,Ceará,Nordeste
6,DF,Distrito Federal,Centro-Oeste
7,ES,Espírito Santo,Sudeste
8,GO,Goiás,Centro-Oeste
9,MA,Maranhão,Nordeste
10,MT,Mato Grosso,Centro-Oeste
11,MS,Mato Grosso do Sul,Centro-Oeste
12,MG,Minas Gerais,Sudeste
13,PA,Pará,Norte
14,PB,Paraíba,Nordeste
15,PR,Paraná,Sul
16,PE,Pernambuco,Nordeste
17,PI,Piauí,Nordeste
18,RJ,Rio de Janeiro,Sudeste
19,RN,Rio Grande do Norte,Nordeste
20,RS,Rio Grande do Sul,Sul
21,RO,Rondônia,Norte
22,RR,Roraima,Norte
23,SC,Santa Catarina,Sul
24,SP,São Paulo,Sudeste
25,SE,Sergipe,Nordeste
26,TO,Tocantins,Norte
