,ano,estado,idhm
0,2012,Rondônia,0.694
1,2012,Acre,0.701
2,2012,Amazonas,0.691
3,2012,Roraima,0.738
4,2012,Pará,0.666
5,2012,Amapá,0.707
6,2012,Tocantins,0.71
7,2012,Maranhão,0.648
8,2012,Piauí,0.66
9,2012,Ceará,0.701
10,2012,Rio Grande do Norte,0.695
11,2012,Paraíba,0.673
12,2012,Pernambuco,0.688
13,2012,Alagoas,0.651
14,2012,Sergipe,0.684
15,2012,Bahia,0.678
16,2012,Minas Gerais,0.75
17,2012,Espírito Santo,0.758
18,2012,Rio de Janeiro,0.762
19,2012,São Paulo,0.812
20,2012,Paraná,0.772
21,2012,Santa Catarina,0.792
22,2012,Rio Grande do Sul,0.763
23,2012,Mato Grosso do Sul,0.733
24,2012,Mato Grosso,0.742
25,2012,Goiás,0.744
26,2012,Distrito Federal,0.825
27,2013,Rondônia,0.687
28,2013,Acre,0.706
29,2013,Amazonas,0.702
30,2013,Roraima,0.738
31,2013,Pará,0.671
32,2013,Amapá,0.734
33,2013,Tocantins,0.719
34,2013,Maranhão,0.661
35,2013,Piauí,0.679
36,2013,Ceará,0.705
37,2013,Rio Grande do Norte,0.71
38,2013,Paraíba,0.67
39,2013,Pernambuco,0.703
40,2013,Alagoas,0.648
41,2013,Sergipe,0.683
42,2013,Bahia,0.68
43,2013,Minas Gerais,0.758
44,2013,Espírito Santo,0.765
45,2013,Rio de Janeiro,0.768
46,2013,São Paulo,0.818
47,2013,Paraná,0.782
48,2013,Santa Catarina,0.801
49,2013,Rio Grande do Sul,0.773
50,2013,Mato Grosso do Sul,0.743
51,2013,Mato Grosso,0.758
52,2013,Goiás,0.752
53,2013,Distrito Federal,0.837
54,2014,Rondônia,0.692
55,2014,Acre,0.715
56,2014,Amazonas,0.706
57,2014,Roraima,0.744
58,2014,Pará,0.684
59,2014,Amapá,0.725
60,2014,Tocantins,0.737
61,2014,Maranhão,0.663
62,2014,Piauí,0.686
63,2014,Ceará,0.71
64,2014,Rio Grande do Norte,0.723
65,2014,Paraíba,0.69
66,2014,Pernambuco,0.715
67,2014,Alagoas,0.666
68,2014,Sergipe,0.696
69,2014,Bahia,0.694
70,2014,Minas Gerais,0.77
71,2014,Espírito Santo,0.772
72,2014,Rio de Janeiro,0.78
73,2014,São Paulo,0.825
74,2014,Paraná,0.788
75,2014,Santa Catarina,0.807
76,2014,Rio Grande do Sul,0.779
77,2014,Mato Grosso do Sul,0.745
78,2014,Mato Grosso,0.762
79,2014,Goiás,0.757
80,2014,Distrito Federal,0.836
81,2015,Rondônia,0.706
82,2015,Acre,0.718
83,2015,Amazonas,0.711
84,2015,Roraima,0.748
85,2015,Pará,0.689
86,2015,Amapá,0.728
87,2015,Tocantins,0.73
88,2015,Maranhão,0.669
89,2015,Piauí,0.689
90,2015,Ceará,0.715
91,2015,Rio Grande do Norte,0.733
92,2015,Paraíba,0.703
93,2015,Pernambuco,0.722
94,2015,Alagoas,0.666
95,2015,Sergipe,0.697
96,2015,Bahia,0.701
97,2015,Minas Gerais,0.774
98,2015,Espírito Santo,0.776
99,2015,Rio de Janeiro,0.785
100,2015,São Paulo,0.823
101,2015,Paraná,0.786
102,2015,Santa Catarina,0.809
103,2015,Rio Grande do Sul,0.787
104,2015,Mato Grosso do Sul,0.74
105,2015,Mato Grosso,0.77
106,2015,Goiás,0.755
107,2015,Distrito Federal,0.837
108,2016,Rondônia,0.715
109,2016,Acre,0.723
110,2016,Amazonas,0.711
111,2016,Roraima,0.752
112,2016,Pará,0.687
113,2016,Amapá,0.733
114,2016,Tocantins,0.734
115,2016,Maranhão,0.68
116,2016,Piauí,0.685
117,2016,Ceará,0.722
118,2016,Rio Grande do Norte,0.732
119,2016,Paraíba,0.704
120,2016,Pernambuco,0.724
121,2016,Alagoas,0.68
122,2016,Sergipe,0.697
123,2016,Bahia,0.705
124,2016,Minas Gerais,0.776
125,2016,Espírito Santo,0.779
126,2016,Rio de Janeiro,0.789
127,2016,São Paulo,0.835
128,2016,Paraná,0.797
129,2016,Santa Catarina,0.814
130,2016,Rio Grande do Sul,0.789
131,2016,Mato Grosso do Sul,0.758
132,2016,Mato Grosso,0.769
133,2016,Goiás,0.764
134,2016,Distrito Federal,0.847
135,2017,Rondônia,0.721
136,2017,Acre,0.712
137,2017,Amazonas,0.728
138,2017,Roraima,0.746
139,2017,Pará,0.694
140,2017,Amapá,0.732
141,2017,Tocantins,0.74
142,2017,Maranhão,0.685
143,2017,Piauí,0.694
144,2017,Ceará,0.73
145,2017,Rio Grande do Norte,0.728
146,2017,Paraíba,0.717
