,estado,populacao
0,Acre,830018
1,Alagoas,3127683
2,Amapá,733759
3,Amazonas,3941613
4,Bahia,14141626
5,Ceará,8794957
6,Distrito Federal,2817381
7,Espírito Santo,3833712
8,Goiás,7056495
9,Maranhão,6776699
10,Mato Grosso,3658649
11,Mato Grosso do Sul,2757013
12,Minas Gerais,20539989
13,Pará,8120131
14,Paraíba,3974687
15,Paraná,11444380
16,Pernambuco,9058931
17,Piauí,3271199
18,Rio de Janeiro,16055174
19,Rio Grande do Norte,3302729
20,Rio Grande do Sul,10882965
21,Rondônia,1581196
22,Roraima,636707
23,Santa Catarina,7610361
24,São Paulo,44411238
25,Sergipe,2210004
26,Tocantins,1511460
